,outcome,player,year
1,1,Derek Jeter,1995
1.1,1,Derek Jeter,1995
1.2,1,Derek Jeter,1995
1.3,1,Derek Jeter,1995
1.4,1,Derek Jeter,1995
1.5,1,Derek Jeter,1995
1.6,1,Derek Jeter,1995
1.7,1,Derek Jeter,1995
1.8,1,Derek Jeter,1995
1.9,1,Derek Jeter,1995
1.10,1,Derek Jeter,1995
1.11,1,Derek Jeter,1995
2,1,Derek Jeter,1996
2.1,1,Derek Jeter,1996
2.2,1,Derek Jeter,1996
2.3,1,Derek Jeter,1996
2.4,1,Derek Jeter,1996
2.5,1,Derek Jeter,1996
2.6,1,Derek Jeter,1996
2.7,1,Derek Jeter,1996
2.8,1,Derek Jeter,1996
2.9,1,Derek Jeter,1996
2.10,1,Derek Jeter,1996
2.11,1,Derek Jeter,1996
2.12,1,Derek Jeter,1996
2.13,1,Derek Jeter,1996
2.14,1,Derek Jeter,1996
2.15,1,Derek Jeter,1996
2.16,1,Derek Jeter,1996
2.17,1,Derek Jeter,1996
2.18,1,Derek Jeter,1996
2.19,1,Derek Jeter,1996
2.20,1,Derek Jeter,1996
2.21,1,Derek Jeter,1996
2.22,1,Derek Jeter,1996
2.23,1,Derek Jeter,1996
2.24,1,Derek Jeter,1996
2.25,1,Derek Jeter,1996
2.26,1,Derek Jeter,1996
2.27,1,Derek Jeter,1996
2.28,1,Derek Jeter,1996
2.29,1,Derek Jeter,1996
2.30,1,Derek Jeter,1996
2.31,1,Derek Jeter,1996
2.32,1,Derek Jeter,1996
2.33,1,Derek Jeter,1996
2.34,1,Derek Jeter,1996
2.35,1,Derek Jeter,1996
2.36,1,Derek Jeter,1996
2.37,1,Derek Jeter,1996
2.38,1,Derek Jeter,1996
2.39,1,Derek Jeter,1996
2.40,1,Derek Jeter,1996
2.41,1,Derek Jeter,1996
2.42,1,Derek Jeter,1996
2.43,1,Derek Jeter,1996
2.44,1,Derek Jeter,1996
2.45,1,Derek Jeter,1996
2.46,1,Derek Jeter,1996
2.47,1,Derek Jeter,1996
2.48,1,Derek Jeter,1996
2.49,1,Derek Jeter,1996
2.50,1,Derek Jeter,1996
2.51,1,Derek Jeter,1996
2.52,1,Derek Jeter,1996
2.53,1,Derek Jeter,1996
2.54,1,Derek Jeter,1996
2.55,1,Derek Jeter,1996
2.56,1,Derek Jeter,1996
2.57,1,Derek Jeter,1996
2.58,1,Derek Jeter,1996
2.59,1,Derek Jeter,1996
2.60,1,Derek Jeter,1996
2.61,1,Derek Jeter,1996
2.62,1,Derek Jeter,1996
2.63,1,Derek Jeter,1996
2.64,1,Derek Jeter,1996
2.65,1,Derek Jeter,1996
2.66,1,Derek Jeter,1996
2.67,1,Derek Jeter,1996
2.68,1,Derek Jeter,1996
2.69,1,Derek Jeter,1996
2.70,1,Derek Jeter,1996
2.71,1,Derek Jeter,1996
2.72,1,Derek Jeter,1996
2.73,1,Derek Jeter,1996
2.74,1,Derek Jeter,1996
2.75,1,Derek Jeter,1996
2.76,1,Derek Jeter,1996
2.77,1,Derek Jeter,1996
2.78,1,Derek Jeter,1996
2.79,1,Derek Jeter,1996
2.80,1,Derek Jeter,1996
2.81,1,Derek Jeter,1996
2.82,1,Derek Jeter,1996
2.83,1,Derek Jeter,1996
2.84,1,Derek Jeter,1996
2.85,1,Derek Jeter,1996
2.86,1,Derek Jeter,1996
2.87,1,Derek Jeter,1996
2.88,1,Derek Jeter,1996
2.89,1,Derek Jeter,1996
2.90,1,Derek Jeter,1996
2.91,1,Derek Jeter,1996
2.92,1,Derek Jeter,1996
2.93,1,Derek Jeter,1996
2.94,1,Derek Jeter,1996
2.95,1,Derek Jeter,1996
2.96,1,Derek Jeter,1996
2.97,1,Derek Jeter,1996
2.98,1,Derek Jeter,1996
2.99,1,Derek Jeter,1996
2.100,1,Derek Jeter,1996
2.101,1,Derek Jeter,1996
2.102,1,Derek Jeter,1996
2.103,1,Derek Jeter,1996
2.104,1,Derek Jeter,1996
2.105,1,Derek Jeter,1996
2.106,1,Derek Jeter,1996
2.107,1,Derek Jeter,1996
2.108,1,Derek Jeter,1996
2.109,1,Derek Jeter,1996
2.110,1,Derek Jeter,1996
2.111,1,Derek Jeter,1996
2.112,1,Derek Jeter,1996
2.113,1,Derek Jeter,1996
2.114,1,Derek Jeter,1996
2.115,1,Derek Jeter,1996
2.116,1,Derek Jeter,1996
2.117,1,Derek Jeter,1996
2.118,1,Derek Jeter,1996
2.119,1,Derek Jeter,1996
2.120,1,Derek Jeter,1996
2.121,1,Derek Jeter,1996
2.122,1,Derek Jeter,1996
2.123,1,Derek Jeter,1996
2.124,1,Derek Jeter,1996
2.125,1,Derek Jeter,1996
2.126,1,Derek Jeter,1996
2.127,1,Derek Jeter,1996
2.128,1,Derek Jeter,1996
2.129,1,Derek Jeter,1996
2.130,1,Derek Jeter,1996
2.131,1,Derek Jeter,1996
2.132,1,Derek Jeter,1996
2.133,1,Derek Jeter,1996
2.134,1,Derek Jeter,1996
2.135,1,Derek Jeter,1996
2.136,1,Derek Jeter,1996
2.137,1,Derek Jeter,1996
2.138,1,Derek Jeter,1996
2.139,1,Derek Jeter,1996
2.140,1,Derek Jeter,1996
2.141,1,Derek Jeter,1996
2.142,1,Derek Jeter,1996
2.143,1,Derek Jeter,1996
2.144,1,Derek Jeter,1996
2.145,1,Derek Jeter,1996
2.146,1,Derek Jeter,1996
2.147,1,Derek Jeter,1996
2.148,1,Derek Jeter,1996
2.149,1,Derek Jeter,1996
2.150,1,Derek Jeter,1996
2.151,1,Derek Jeter,1996
2.152,1,Derek Jeter,1996
2.153,1,Derek Jeter,1996
2.154,1,Derek Jeter,1996
2.155,1,Derek Jeter,1996
2.156,1,Derek Jeter,1996
2.157,1,Derek Jeter,1996
2.158,1,Derek Jeter,1996
2.159,1,Derek Jeter,1996
2.160,1,Derek Jeter,1996
2.161,1,Derek Jeter,1996
2.162,1,Derek Jeter,1996
2.163,1,Derek Jeter,1996
2.164,1,Derek Jeter,1996
2.165,1,Derek Jeter,1996
2.166,1,Derek Jeter,1996
2.167,1,Derek Jeter,1996
2.168,1,Derek Jeter,1996
2.169,1,Derek Jeter,1996
2.170,1,Derek Jeter,1996
2.171,1,Derek Jeter,1996
2.172,1,Derek Jeter,1996
2.173,1,Derek Jeter,1996
2.174,1,Derek Jeter,1996
2.175,1,Derek Jeter,1996
2.176,1,Derek Jeter,1996
2.177,1,Derek Jeter,1996
2.178,1,Derek Jeter,1996
2.179,1,Derek Jeter,1996
2.180,1,Derek Jeter,1996
2.181,1,Derek Jeter,1996
2.182,1,Derek Jeter,1996
3,0,Derek Jeter,1995
3.1,0,Derek Jeter,1995
3.2,0,Derek Jeter,1995
3.3,0,Derek Jeter,1995
3.4,0,Derek Jeter,1995
3.5,0,Derek Jeter,1995
3.6,0,Derek Jeter,1995
3.7,0,Derek Jeter,1995
3.8,0,Derek Jeter,1995
3.9,0,Derek Jeter,1995
3.10,0,Derek Jeter,1995
3.11,0,Derek Jeter,1995
3.12,0,Derek Jeter,1995
3.13,0,Derek Jeter,1995
3.14,0,Derek Jeter,1995
3.15,0,Derek Jeter,1995
3.16,0,Derek Jeter,1995
3.17,0,Derek Jeter,1995
3.18,0,Derek Jeter,1995
3.19,0,Derek Jeter,1995
3.20,0,Derek Jeter,1995
3.21,0,Derek Jeter,1995
3.22,0,Derek Jeter,1995
3.23,0,Derek Jeter,1995
3.24,0,Derek Jeter,1995
3.25,0,Derek Jeter,1995
3.26,0,Derek Jeter,1995
3.27,0,Derek Jeter,1995
3.28,0,Derek Jeter,1995
3.29,0,Derek Jeter,1995
3.30,0,Derek Jeter,1995
3.31,0,Derek Jeter,1995
3.32,0,Derek Jeter,1995
